tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,29417,9623
Lyon,triangle,10,30237,9688
Lyon,triangle,10,30314,9531
Lyon,triangle,10,26804,5753
Lyon,triangle,10,24453,9254
Lyon,triangle,10,30565,9645
Lyon,triangle,10,31269,9816
Lyon,triangle,10,31412,9994
Lyon,triangle,10,29802,5589
Lyon,triangle,10,18165,5049
Lyon,triangle,10,26357,9444
Lyon,triangle,10,29778,8636
Lyon,triangle,10,29519,9081
Lyon,triangle,10,31020,9319
Lyon,triangle,10,29473,9276
Lyon,triangle,10,30056,8952
Lyon,triangle,10,30451,8615
Lyon,triangle,10,30234,9045
Lyon,triangle,10,30399,8757
Lyon,triangle,10,29777,9813
Lyon,triangle,10,29909,8463
Lyon,triangle,10,30769,9507
Lyon,triangle,10,31889,9468
Lyon,triangle,10,27648,7620
Lyon,triangle,10,28672,6749
Lyon,triangle,10,29810,9483
Lyon,triangle,10,30714,9444
Lyon,triangle,10,29961,9243
Lyon,triangle,10,26322,10304
Lyon,triangle,10,30766,9437
Lyon,triangle,10,29069,9070
Lyon,triangle,10,29849,9245
Lyon,triangle,10,30355,9926
Lyon,triangle,10,30369,9744
Lyon,triangle,10,31699,12137
Lyon,triangle,10,31304,9482
Lyon,triangle,10,31710,9873
Lyon,triangle,10,28706,7302
Lyon,triangle,10,31632,9906
Lyon,triangle,10,31763,9523
Lyon,triangle,10,28282,9053
Lyon,triangle,10,27788,8488
Lyon,triangle,10,27902,8926
Lyon,triangle,10,29748,9696
Lyon,triangle,10,31904,9871
Lyon,triangle,10,29582,9600
Lyon,triangle,10,37651,12050
Lyon,triangle,10,32256,9518
Lyon,triangle,10,30091,9590
Lyon,triangle,10,31725,8463
Lyon,triangle,10,31362,9983
Lyon,triangle,10,32446,9834
Lyon,triangle,10,30936,10119
Lyon,triangle,10,21512,8359
Lyon,triangle,10,29987,8536
Lyon,triangle,10,29394,10764
Lyon,triangle,10,30855,9154
Lyon,triangle,10,31189,9252
Lyon,triangle,10,29633,8661
Lyon,triangle,10,26922,9608
Lyon,triangle,10,30684,9664
Lyon,triangle,10,29536,5866
Lyon,triangle,10,29057,9694
Lyon,triangle,10,31399,9275
Lyon,triangle,10,28100,8850
Lyon,triangle,10,30333,9725
Lyon,triangle,10,30277,9262
Lyon,triangle,10,30568,9073
Lyon,triangle,10,25333,9818
Lyon,triangle,10,26170,5747
Lyon,triangle,10,30284,9228
Lyon,triangle,10,30519,9150
Lyon,triangle,10,27901,12982
Lyon,triangle,10,21146,9128
Lyon,triangle,10,24595,5668
Lyon,triangle,10,29132,10153
Lyon,triangle,10,31052,9874
Lyon,triangle,10,31747,9628
Lyon,triangle,10,29622,8397
Lyon,triangle,10,29997,10126
Lyon,triangle,10,26388,5640
Lyon,triangle,10,30617,6821
Lyon,triangle,10,33951,9779
Lyon,triangle,10,29721,9444
Lyon,triangle,10,30592,9514
Lyon,triangle,10,30331,9587
Lyon,triangle,10,30398,8982
Lyon,triangle,10,30333,9156
Lyon,triangle,10,24530,9089
Lyon,triangle,10,24558,5523
Lyon,triangle,10,21796,8743
Lyon,triangle,10,25401,9152
Lyon,triangle,10,27665,9110
Lyon,triangle,10,30355,8660
Lyon,triangle,10,28779,7521
Lyon,triangle,10,30016,9678
Lyon,triangle,10,26574,9049
Lyon,triangle,10,30837,9704
Lyon,triangle,10,29933,9079
